TimeStamp,DateTime,Open,High,Low,Close,Side,Volume,BuyVol,SellVol,Delta,Trade,BuyTrades,SellTrades,LSRatio,LongRatio,ShortRatio,OIOpen,OIHigh,OILow,OIClose,OIChange,LongLiquidation,ShortLiquidation,FROpen,FRHigh,FRLow,FRClose
1697418000,2023-10-16 05:00:00,27149.191666666666,27261.6,27128.5,27239.608333333334,Buy,42441743.8327,26237524.1663,16204219.6664,10033304.499899998,10671,6485,4186,1.7578485734959686,0.61315,0.38685,496033239.0,521395800.0,470557900.0,496874039.0,840800.0,12435,0,0.0017635000000000003,0.01,-0.006473,0.0017635000000000003
1697419800,2023-10-16 05:30:00,27241.458333333332,27309.0,27167.4,27192.25833333333,Sell,56864487.809200004,28117378.875299998,28747108.933900006,-629730.0586000085,10790,5125,5665,1.7591713370531101,0.6132,0.38680000000000003,496979439.0,525004200.0,471873964.0,498987547.0,2008108.0,0,300,0.0017635000000000003,0.01,-0.006473,0.0017635000000000003
1697421600,2023-10-16 06:00:00,27191.358333333334,27306.1,27153.7,27259.291666666668,Buy,36201884.1772,21162287.2438,15039596.933399998,6122690.310400002,8112,4718,3394,1.749976163391934,0.6125499999999999,0.38745000000000007,498980047.0,525522300.0,473200244.0,499737341.0,757294.0,2600,0,0.0017635000000000003,0.01,-0.006473,0.0017635000000000003
1697423400,2023-10-16 06:30:00,27260.36666666667,27288.7,27140.0,27184.808333333334,Sell,33204489.1943,11252821.857900001,21951667.3364,-10698845.478499997,7979,3829,4150,1.7495078512396693,0.6123500000000001,0.38765,499702841.0,525385500.0,473362812.0,499675050.0,-27791.0,41401,0,0.0017635000000000003,0.01,-0.006473,0.0017635000000000003
1697425200,2023-10-16 07:00:00,27186.233333333334,27247.1,27140.0,27220.75833333333,Buy,21715929.9907,12954406.5783,8761523.4124,4192883.1658999994,5889,3465,2424,1.7331179227751394,0.61085,0.38915,499681600.0,524645300.0,474955322.0,500065839.0,384239.0,1,33801,0.0017635000000000003,0.01,-0.006473,0.0017635000000000003
1697427000,2023-10-16 07:30:00,27218.95,27253.3,27182.9,27232.341666666664,Buy,17855476.4938,9554678.1539,8300798.3399,1253879.8139999993,4709,2392,2317,1.73567133705311,0.6112,0.38880000000000003,499816389.0,524467700.0,474988942.0,499597986.5,-218402.5,0,160359,0.0017635000000000003,0.01,-0.006473,0.0017635000000000003
1697428800,2023-10-16 08:00:00,27233.675,27258.0,27186.0,27213.50833333333,Sell,15420958.2479,7378775.5677,8042182.6802,-663407.1125000007,5423,2042,3381,1.7308578512396693,0.61075,0.38925,499623186.5,524235700.0,471502976.0,497887173.0,-1736013.5,0,487568,0.0017635000000000003,0.01,-0.006473,0.0017635000000000003
1697430600,2023-10-16 08:30:00,27211.058333333334,27291.0,27175.6,27248.975000000002,Buy,23269173.4118,11800070.3303,11469103.081500001,330967.2487999983,6125,3624,2501,1.7331578512396693,0.61095,0.38905,497916823.0,524456400.0,471422844.0,496851302.5,-1065520.5,30953,399902,-0.001065,0.01,-0.01213,-0.001065
1697432400,2023-10-16 09:00:00,27252.399999999998,27881.5,27231.5,27761.63333333333,Buy,737416059.7186,402918479.2483,334497580.4703,68420898.778,107970,59340,48630,1.727744453625284,0.61045,0.38955,496845102.5,521877700.0,471241101.0,495274040.5,-1571062.0,0,100,-0.001065,0.01,-0.01213,-0.001065
1697434200,2023-10-16 09:30:00,27765.524999999998,28002.5,27732.0,27916.308333333334,Buy,397283179.3664,192648437.5535,204634741.8129,-11986304.25940001,65935,30504,35431,1.7216179227751394,0.60985,0.39015,495837840.5,521628600.0,471180669.0,496886964.5,1049124.0,1303,10290,-0.001065,0.01,-0.01213,-0.001065
1697436000,2023-10-16 10:00:00,27919.774999999998,27999.0,27803.9,27828.350000000002,Sell,142227718.7998,66870590.2921,75357128.50770001,-8486538.215600014,30031,12328,17703,1.7053417440660472,0.6083500000000001,0.39165,496915914.5,522269300.0,470962152.0,496309484.0,-606430.5,2694,0,-0.001065,0.01,-0.01213,-0.001065
1697437800,2023-10-16 10:30:00,27828.783333333336,27928.3,27758.4,27816.49166666667,Sell,75496610.7791,36265979.4981,39230631.281,-2964651.7829000056,17615,9486,8129,1.7049159170621002,0.6082500000000001,0.39175,496356284.0,524361100.0,470877827.0,497967536.5,1611252.5,22908,0,-0.001065,0.01,-0.01213,-0.001065
1697439600,2023-10-16 11:00:00,27814.291666666668,27916.3,27796.3,27886.341666666664,Buy,54136689.2796,27607461.3717,26529227.9079,1078233.4637999982,13847,7895,5952,1.7081031353135314,0.6085000000000002,0.3915,497973086.5,524439700.0,471531019.0,497786649.5,-186437.0,19580,0,-0.001065,0.01,-0.01213,-0.001065
1697441400,2023-10-16 11:30:00,27888.933333333334,27940.2,27821.4,27841.433333333334,Sell,39755357.1243,15493269.7599,24262087.364400003,-8768817.604500003,12531,5133,7398,1.7042778350515464,0.6081000000000001,0.39189999999999997,497734999.5,524038700.0,471460389.0,497830179.0,95179.5,0,1100,-0.001065,0.01,-0.01213,-0.001065
